Membership No  Date Joined  Active  
    44720      2016-2-14    no    
    80026      2018-11-20   yes   
    33814      2017-10-18   no    
    51247      2020-12-13   no    
    67103      2019-9-16    no    
    57267      2015-9-9     no    
    60206      2018-1-19    no    
    88576      2018-4-2     yes   
    20236      2015-8-9     yes   
    86529      2020-3-6     yes   
    19471      2020-4-2     no    
    66632      2015-3-1     yes   
    55437      2017-2-9     yes   
    27106      2015-2-25    yes   
    15939      2015-3-13    yes   
    43335      2015-3-22    no    
    81022      2020-1-19    no    
    21010      2016-5-8     no    
    48703      2016-7-22    yes   
    86632      2019-12-15   no    
